"country","date_key","sport","events_count","gold","silver","bronze","total_medals","medals_per_event"
"USA",1904,"Athletics","24","22","22","21","65","2.71"
"USA",1968,"Swimming","29","21","15","16","52","1.79"
"USA",1984,"Swimming","25","20","13","0","33","1.32"
"USA",1972,"Swimming","26","17","14","12","43","1.65"
"USA",2016,"Swimming","29","16","8","9","33","1.14"
"USA",1984,"Athletics","26","16","15","9","40","1.54"
"USA",1956,"Athletics","18","16","10","5","31","1.72"
"USA",1912,"Athletics","21","16","13","12","41","1.95"
"USA",1932,"Athletics","22","16","13","6","35","1.59"
"USA",2012,"Swimming","27","16","9","6","31","1.15"
"USA",1908,"Athletics","19","15","10","8","33","1.74"
"USA",1968,"Athletics","19","15","6","7","28","1.47"
"USA",1952,"Athletics","18","15","10","6","31","1.72"
"Russia",1980,"Athletics","29","15","14","12","41","1.41"
"Germany",1972,"Athletics","23","14","10","7","31","1.35"
"USA",1964,"Athletics","17","14","7","3","24","1.41"
"USA",1936,"Athletics","16","14","7","4","25","1.56"
"USA",1976,"Swimming","19","13","14","7","34","1.79"
"USA",1988,"Athletics","17","13","7","6","26","1.53"
"USA",1920,"Shooting","17","13","4","6","23","1.35"
"USA",2016,"Athletics","26","13","10","9","32","1.23"
"USA",1964,"Swimming","18","13","8","8","29","1.61"
"USA",2000,"Swimming","25","13","8","10","31","1.24"
"USA",1996,"Athletics","17","13","5","5","23","1.35"
"USA",1996,"Swimming","22","13","11","2","26","1.18"
"USA",1924,"Athletics","21","12","10","10","32","1.52"
"Germany",1988,"Swimming","22","12","9","10","31","1.41"
"USA",2008,"Swimming","25","12","9","10","31","1.24"
"USA",1948,"Athletics","18","12","5","10","27","1.50"
"USA",1960,"Athletics","16","12","8","6","26","1.63"
"Russia",1976,"Wrestling","18","12","5","1","18","1.00"
"USA",2004,"Swimming","25","12","9","7","28","1.12"
"Germany",1980,"Swimming","16","12","10","8","30","1.88"
"Germany",1976,"Athletics","24","12","11","13","36","1.50"
"Russia",1980,"Wrestling","17","12","3","2","17","1.00"
"USA",1992,"Athletics","22","12","8","10","30","1.36"
"USA",1992,"Swimming","25","11","9","7","27","1.08"
"Germany",1980,"Athletics","24","11","8","10","29","1.21"
"Russia",1956,"Gymnastics","15","11","6","6","23","1.53"
"Germany",1980,"Rowing","14","11","1","2","14","1.00"
"Russia",1960,"Athletics","16","11","5","5","21","1.31"
"Germany",1976,"Swimming","15","11","6","4","21","1.40"
"USA",1904,"Gymnastics","10","10","8","10","28","2.80"
"Finland",1924,"Athletics","13","10","5","2","17","1.31"
"Russia",1988,"Athletics","17","10","6","10","26","1.53"
"Russia",1960,"Gymnastics","14","10","8","8","26","1.86"
"Russia",1988,"Gymnastics","13","10","5","3","18","1.38"
"Russia",1972,"Athletics","15","9","7","1","17","1.13"
"Germany",1988,"Rowing","11","9","2","2","13","1.18"
"Russia",1972,"Wrestling","14","9","4","1","14","1.00"
"USA",1928,"Athletics","17","9","8","8","25","1.47"
"USA",1960,"Swimming","13","9","3","3","15","1.15"
"Russia",1980,"Gymnastics","14","9","8","5","22","1.57"
"USA",2012,"Athletics","21","9","12","7","28","1.33"
"USA",1984,"Boxing","11","9","1","1","11","1.00"
"Germany",1976,"Rowing","14","9","4","5","18","1.29"
"Russia",1992,"Gymnastics","14","9","5","4","18","1.29"
"Finland",1920,"Athletics","10","9","4","3","16","1.60"
"Russia",1952,"Gymnastics","13","9","10","2","21","1.62"
"USA",2004,"Athletics","17","9","11","5","25","1.47"
"USA",1984,"Wrestling","13","9","3","1","13","1.00"
"USA",1924,"Swimming","10","9","5","5","19","1.90"
"USA",1920,"Athletics","20","9","12","8","29","1.45"
"China",2008,"Gymnastics","12","9","1","4","14","1.17"
"Japan",2004,"Judo","10","8","2","0","10","1.00"
"Russia",1980,"Swimming","13","8","9","5","22","1.69"
