1;Stefan Jonsson;M
2;Ene Franca Idoko (-Isaac);F
3;Vito Da Ros;M
4;Shen Yikung;M
5;Juan Paz Soldan;M
6;Tore Ingemar Sjstrand;M
7;Giordana Rocchi;F
8;Manol Dall'Igna;M
9;Yanet Ursula Sovero Nio;F
10;Wilhelm Brlle;M
11;George Ogan;M
12;Valrie Malet;F
13;Ardito Bresciani;M
14;Adil Candemir;M
15;Simo Pedro Gomes Morgado;M
16;Samuel Ablade Kumah;M
17;Jason Robert Plummer;M
18;Cheslin Kolbe;M
19;Serhiy Oleksandrovych Demidiuk;M
20;Manuel Brehmer;M
21;Sofiya Kabanova;F
22;Sergio Moises Cabrera Diaz;M
23;Seo Jeong-Gyun;M
24;Apostolos Gointoulas;M
25;Thor Thorvaldsen;M
26;Wanda Marianna Panfil (-Gonzlez);F
27;Seain Frank Dufficy;M
28;Pierre Gauthier;M
29;Anita Kossen;F
30;Gary Arthur Chapman;M
31;Julius Obiefuma Chigbolu;M
32;Mokhtar Ghyaza;M
33;Simona Koch;F
34;Yonas Andebrhan Kifle;M
35;Baatarskhiin Chinzorig;M
36;Miguel Chillida Santiesteban;M
37;Jean-Luc Adorno;M
38;Tawa Bolanle Ishola;F
39;Nepes Gukulov;M
40;Ernst Jonas Jonsson;M
41;Stphanie Dechand;F
42;Jamila Genzeb Shumi Regasa;F
43;Lou David Banach;M
44;Eugene Joseph Fruehauf, Jr.;M
45;Liam Carroll;M
46;Ildefonso Lee Valdes;M
47;Peter J. Gillam;M
48;Faustino Domnguez Salgado;M
49;Peter Mattias Oscarsson;M
50;Gonzalo Ruz de la Cruz;M
51;Dmitry Leonidovich Kuzelev;M
52;Alessandro Argenton;M
53;Romolo Luigi Tullio Carpi;M
54;Brian Schumacher;M
55;Ludovico Enrique Kempter Schaefer;M
56;Willy Tschopp;M
57;Paul-Henri Mathieu;M
58;Maurice Edelston;M
59;Nguyn Vn Ngan;M
60;Anatoly Konstantinovich Timofeyev;M
61;Fabian Frei;M
62;Gyula Belloni;M
63;Pvels Senievs;M
64;Steven James Burke;M
65;Kazuo Noda;M
66;Trevor Graham;M
67;Gunnar Tallberg;M
68;Rene Belanger;F
69;Hans Heinrich Reese;M
70;Joan Uduak Ekah;F
71;Hannelore Anke (-Hofmann);F
72;Sven Elis Holmer;M
73;Klaus Jacob;M
74;Emanuel Brouwer;M
75;"Terence Eugene ""Terry"" Beucher";M
76;Larissa Schaerer;F
77;Reginald Parker;M
78;"Dominic Jakub ""Dom"" Inglot";M
79;Marion Kische (-Wellner);F
80;Tatyana Nikolayevna Khromova;F
81;Gaston F. M. Arlin;M
82;Gustavo Salcedo Ramrez;M
83;Oleksandr Stepanovych Blyshchyk;M
84;Linn-Kristin Ullevoldster Riegelhuth Koren;F
85;Joo Pedro Thomaz Pereira;M
86;Gunnar Henry Asmussen;M
87;Rafael Ladrn de Guevara Ortiz de Urbina;M
88;Juha Pekka Hnninen;M
89;Yamar Samb;M
90;Darien Graham Boswell;M
91;Lopold Hauben;M
92;Neisha Bernard-Thomas;F
93;Violeta Beclea-Szekely;F
94;"Everardus ""Evert"" Grift";M
95;Noboru Ito;M
96;Benjamin Kipkurgat Arap Kogo;M
97;Andrew Campbell;M
98;Shaimaa Abdel-Latif-Hashad;F
99;Beaufort Burdekin;M
100;Aa Bela Joaquim;F
101;Hans Peter Bssler;M
102;Jnis Dimza;M
103;Frdric Fitting;M
104;Oliver Kieffer;M
105;Kwandakwensizwa Ishmael Mngonyama;M
106;Jos Garca Quesada;M
107;Magorzata Birbach (-Kowalewicz);F
108;Hussein Al-Aameri;M
109;Aleksandr Viktorovich Sokolov;M
110;Leonid Nikolayevich Kolesnikov;M
111;Harry Watson;M
112;Lim Yal-Aon;M
113;Jean-Louis Prianon;M
114;Zuleidis Ortz Fuente;F
115;Akiko Kitada;F
116;Juma Ikangaa;M
117;Zygfryd Karol Perlicki;M
118;Lars Mikael Myrberg (Lundgren-);M
119;Miguel Angel Gonzlez Davila;M
120;Salhate Djamalidine;F
121;Anna Vladimirovna Shorina;F
122;Mary Christine McConkey;F
123;akir xliyev;M
124;Aleksandr Vladimirovich Krasnykh;M
125;Ali Al-Khalifa;M
126;Kifayt Qasmova;F
127;Robert J. Hillery;M
128;Sizwe Ndlovu;M
129;Despoina Papavasilaki;F
130;Evans Chebet Kiplagat Barkowet;M
131;Donatien Schauly;M
132;Cai Shengliu;M
133;Arihito Muramatsu;M
134;Ramn Ricardo Cora Johnson;M
135;Gunhild rn;F
136;"Gerardus Jacobus ""Gerrit"" van Wees";M
137;Moustafa Soheim;M
138;Ferenc Velkey;M
139;Lloyd Guss;M
140;Gyula Rbai;M
141;Themistoklis Magoulas;M
142;Anthony Michael Romaniw;M
143;Erling Kristiansen;M
144;Jan Frczek;M
145;Kaisa Maria Launela;F
146;Graviola Ewing;F
147;Gisle Meygret;F
148;Guillermo Garca Ceballos;M
