1;Rowing Women's Double Sculls;19
2;Swimming Women's 100 metres Freestyle;34
3;Cycling Men's 1/3 mile;40
4;Athletics Men's Discus Throw;10
5;Swimming Women's 200 metres Breaststroke;34
6;Cycling Women's Sprint;40
7;Weightlifting Women's Light-Heavyweight;27
8;Boxing Men's Light-Welterweight;39
9;Athletics Men's Javelin Throw, Both Hands;10
10;Cycling Men's 50 kilometres;40
11;Swimming Men's 4 x 100 metres Medley Relay;34
12;Weightlifting Men's Light-Heavyweight;27
13;Wrestling Men's Light-Heavyweight, Freestyle;5
14;Canoeing Men's Kayak Doubles, 200 metres;11
15;Sailing Mixed 7 metres;15
16;Wrestling Men's Middleweight A, Greco-Roman;5
17;Boxing Men's Light-Heavyweight;39
18;Shooting Men's Dueling Pistol, 30 metres;7
19;Athletics Women's 400 metres;10
20;Fencing Men's Foil, Individual;41
21;Shooting Women's Air Rifle, 10 metres;7
22;Wrestling Men's Middleweight, Greco-Roman;5
23;Shooting Men's Military Rifle, Any Position, 600 metres;7
24;Swimming Women's 50 metres Freestyle;34
25;Gymnastics Men's Team All-Around, Swedish System;4
26;Shooting Men's Rapid-Fire Pistol, 25 metres;7
27;Canoeing Women's Kayak Fours, 500 metres;11
28;Motorboating Mixed A-Class (Open);13
29;Volleyball Women's Volleyball;33
30;Rowing Men's Lightweight Double Sculls;19
31;Athletics Men's 1,600 metres Medley Relay;10
32;Shooting Men's Running Target, 50 metres;7
33;Roque Men's Singles;14
34;Shooting Men's Military Pistol, 30 metres;7
35;Polo Men's Polo;23
36;Cycling Men's 100 kilometres;40
37;Triathlon Men's Olympic Distance;45
38;Athletics Women's 100 metres Hurdles;10
39;Football Women's Football;9
40;Wrestling Women's Middleweight, Freestyle;5
41;Athletics Men's Discus Throw, Greek Style;10
42;Canoeing Men's Canadian Doubles, 1,000 metres;11
43;Sailing Mixed Two Person Heavyweight Dinghy;15
44;Art Competitions Mixed Sculpturing, Reliefs;48
45;Canoeing Men's Canadian Singles, 1,000 metres;11
46;Swimming Women's 100 metres Butterfly;34
47;Cycling Women's 500 metres Time Trial;40
48;Shooting Men's Dueling Pistol, 30 metres, Team;7
49;Rowing Men's Coxed Pairs;19
50;Sailing Men's Two Person Keelboat;15
51;Swimming Men's 4 x 100 metres Freestyle Relay;34
52;Swimming Men's 200 metres Individual Medley;34
53;Athletics Men's 10 mile Walk;10
54;Wrestling Men's Heavyweight, Greco-Roman;5
55;Taekwondo Women's Welterweight;6
56;Athletics Women's Long Jump;10
57;Shooting Mixed Skeet;7
58;Gymnastics Women's Horse Vault;4
59;Art Competitions Mixed Literature, Unknown Event;48
60;Shooting Men's Double Trap;7
61;Cycling Women's Omnium;40
62;Gymnastics Men's Team All-Around, Free System;4
63;Weightlifting Women's Flyweight;27
64;Synchronized Swimming Women's Solo;20
65;Cycling Men's Team Pursuit, 4,000 metres;40
66;Athletics Men's 5,000 metres;10
67;Swimming Women's 10 kilometres Open Water;34
68;Fencing Women's Sabre, Individual;41
69;Diving Men's Synchronized Platform;44
70;Wrestling Men's Welterweight, Greco-Roman;5
71;Art Competitions Mixed Painting, Unknown Event;48
72;Badminton Mixed Doubles;26
73;Wrestling Women's Lightweight, Freestyle;5
74;Athletics Men's 3,200 metres Steeplechase;10
75;Gymnastics Men's Individual All-Around;4
76;Trampolining Men's Individual;30
